date,eth_usd_close,answer,decimals,as_of_timestamp,price_updated_at,price_age_seconds,phase_id,aggregator,block_number,transaction_hash,log_index,status
2019-01-02,,,8,1546473599,,,,,,,,unavailable
2019-01-03,,,8,1546559999,,,,,,,,unavailable
2019-01-04,,,8,1546646399,,,,,,,,unavailable
2019-01-05,,,8,1546732799,,,,,,,,unavailable
2019-01-06,,,8,1546819199,,,,,,,,unavailable
2019-01-07,,,8,1546905599,,,,,,,,unavailable
2019-01-08,,,8,1546991999,,,,,,,,unavailable
2019-01-09,,,8,1547078399,,,,,,,,unavailable
2019-01-10,,,8,1547164799,,,,,,,,unavailable
2019-01-11,,,8,1547251199,,,,,,,,unavailable
2019-01-12,,,8,1547337599,,,,,,,,unavailable
2019-01-13,,,8,1547423999,,,,,,,,unavailable
2019-01-14,,,8,1547510399,,,,,,,,unavailable
2019-01-15,,,8,1547596799,,,,,,,,unavailable
2019-01-16,,,8,1547683199,,,,,,,,unavailable
2019-01-17,,,8,1547769599,,,,,,,,unavailable
2019-01-18,,,8,1547855999,,,,,,,,unavailable
2019-01-19,,,8,1547942399,,,,,,,,unavailable
2019-01-20,,,8,1548028799,,,,,,,,unavailable
2019-01-21,,,8,1548115199,,,,,,,,unavailable
2019-01-22,,,8,1548201599,,,,,,,,unavailable
2019-01-23,,,8,1548287999,,,,,,,,unavailable
2019-01-24,,,8,1548374399,,,,,,,,unavailable
2019-01-25,,,8,1548460799,,,,,,,,unavailable
2019-01-26,,,8,1548547199,,,,,,,,unavailable
2019-01-27,,,8,1548633599,,,,,,,,unavailable
2019-01-28,,,8,1548719999,,,,,,,,unavailable
2019-01-29,,,8,1548806399,,,,,,,,unavailable
2019-01-30,,,8,1548892799,,,,,,,,unavailable
2019-01-31,,,8,1548979199,,,,,,,,unavailable
2019-02-01,,,8,1549065599,,,,,,,,unavailable
2019-02-02,,,8,1549151999,,,,,,,,unavailable
2019-02-03,,,8,1549238399,,,,,,,,unavailable
2019-02-04,,,8,1549324799,,,,,,,,unavailable
2019-02-05,,,8,1549411199,,,,,,,,unavailable
2019-02-06,,,8,1549497599,,,,,,,,unavailable
2019-02-07,,,8,1549583999,,,,,,,,unavailable
2019-02-08,,,8,1549670399,,,,,,,,unavailable
2019-02-09,,,8,1549756799,,,,,,,,unavailable
2019-02-10,,,8,1549843199,,,,,,,,unavailable
2019-02-11,,,8,1549929599,,,,,,,,unavailable
2019-02-12,,,8,1550015999,,,,,,,,unavailable
2019-02-13,,,8,1550102399,,,,,,,,unavailable
2019-02-14,,,8,1550188799,,,,,,,,unavailable
2019-02-15,,,8,1550275199,,,,,,,,unavailable
2019-02-16,,,8,1550361599,,,,,,,,unavailable
2019-02-17,,,8,1550447999,,,,,,,,unavailable
2019-02-18,,,8,1550534399,,,,,,,,unavailable
2019-02-19,,,8,1550620799,,,,,,,,unavailable
2019-02-20,,,8,1550707199,,,,,,,,unavailable
2019-02-21,,,8,1550793599,,,,,,,,unavailable
2019-02-22,,,8,1550879999,,,,,,,,unavailable
2019-02-23,,,8,1550966399,,,,,,,,unavailable
2019-02-24,,,8,1551052799,,,,,,,,unavailable
2019-02-25,,,8,1551139199,,,,,,,,unavailable
2019-02-26,,,8,1551225599,,,,,,,,unavailable
2019-02-27,,,8,1551311999,,,,,,,,unavailable
2019-02-28,,,8,1551398399,,,,,,,,unavailable
2019-03-01,,,8,1551484799,,,,,,,,unavailable
2019-03-02,,,8,1551571199,,,,,,,,unavailable
2019-03-03,,,8,1551657599,,,,,,,,unavailable
2019-03-04,,,8,1551743999,,,,,,,,unavailable
2019-03-05,,,8,1551830399,,,,,,,,unavailable
2019-03-06,,,8,1551916799,,,,,,,,unavailable
2019-03-07,,,8,1552003199,,,,,,,,unavailable
2019-03-08,,,8,1552089599,,,,,,,,unavailable
2019-03-09,,,8,1552175999,,,,,,,,unavailable
2019-03-10,,,8,1552262399,,,,,,,,unavailable
2019-03-11,,,8,1552348799,,,,,,,,unavailable
2019-03-12,,,8,1552435199,,,,,,,,unavailable
2019-03-13,,,8,1552521599,,,,,,,,unavailable
2019-03-14,,,8,1552607999,,,,,,,,unavailable
2019-03-15,,,8,1552694399,,,,,,,,unavailable
2019-03-16,,,8,1552780799,,,,,,,,unavailable
